,To work (min),From work (min)
2017-07-03 05:37:00.797,36.6666666667,37.55
2017-07-03 05:42:02.864,36.5666666667,37.4
2017-07-03 05:47:04.452,36.7333333333,37.2333333333
2017-07-03 05:52:06.263,36.95,37.1
2017-07-03 05:57:08.010,37.0333333333,37.2333333333
2017-07-03 06:02:09.488,36.45,37.25
2017-07-03 06:07:11.254,36.5833333333,37.7166666667
2017-07-03 06:12:12.803,36.7166666667,37.5666666667
2017-07-03 06:17:14.378,37.45,37.4833333333
2017-07-03 06:22:16.233,37.7166666667,37.45
2017-07-03 06:27:18.235,37.7333333333,37.4666666667
2017-07-03 06:32:19.962,37.7333333333,37.5833333333
2017-07-03 06:37:21.977,37.8666666667,37.3333333333
2017-07-03 06:42:23.600,37.7166666667,37.2
2017-07-03 06:47:25.590,37.1333333333,37.3333333333
2017-07-03 06:52:27.228,37.1833333333,37.1333333333
2017-07-03 06:57:29.191,37.7833333333,37.1
2017-07-03 07:02:31.027,38.1,37.0333333333
2017-07-03 07:07:32.605,38.2833333333,36.75
2017-07-03 07:12:34.199,38.8333333333,36.9666666667
2017-07-03 07:17:35.945,38.4666666667,37.1833333333
2017-07-03 07:22:37.780,38.3833333333,37.1166666667
2017-07-03 07:27:39.513,38.1833333333,37.2
2017-07-03 07:32:40.934,37.65,37.4166666667
2017-07-03 07:37:43.065,36.6,37.7
2017-07-03 07:42:44.641,36.4,37.6166666667
2017-07-03 07:47:46.406,36.05,37.5666666667
2017-07-03 07:52:48.199,35.6666666667,37.5666666667
2017-07-03 07:57:49.889,35.5166666667,37.85
2017-07-03 08:02:51.794,35.8,37.8166666667
2017-07-03 08:07:53.784,35.5166666667,37.65
2017-07-03 08:12:55.667,35.4166666667,37.5666666667
2017-07-03 08:17:58.119,35.3166666667,38.0666666667
2017-07-03 08:22:59.749,35.5166666667,38.15
2017-07-03 08:28:01.405,35.6666666667,37.9333333333
2017-07-03 08:33:03.096,35.9333333333,37.8833333333
2017-07-03 08:38:04.982,35.6833333333,37.9833333333
2017-07-03 08:43:06.467,35.7333333333,37.8666666667
2017-07-03 08:48:08.270,35.7333333333,38.1
2017-07-03 08:53:10.411,35.8333333333,37.9
2017-07-03 08:58:12.099,35.75,38.0833333333
2017-07-03 09:03:13.736,36.0,37.9833333333
2017-07-03 09:08:15.725,36.4833333333,38.1166666667
2017-07-03 09:13:17.548,37.25,38.2333333333
2017-07-03 09:18:19.165,36.8666666667,38.2666666667
2017-07-03 09:23:21.495,36.7,38.35
2017-07-03 09:28:23.421,37.4666666667,38.2
2017-07-03 09:33:25.247,37.05,37.9833333333
2017-07-03 09:38:26.990,36.95,38.25
2017-07-03 09:43:28.653,36.8333333333,38.6333333333
2017-07-03 09:48:30.592,36.9333333333,38.3
2017-07-03 09:53:32.430,36.6666666667,38.4166666667
2017-07-03 09:58:34.319,37.0666666667,38.6833333333
2017-07-03 10:03:37.062,37.3333333333,38.3666666667
2017-07-03 10:08:39.227,38.2333333333,38.2833333333
2017-07-03 10:13:41.249,37.4833333333,38.3
2017-07-03 10:18:43.295,37.1833333333,38.2666666667
2017-07-03 10:23:45.821,37.0666666667,38.1333333333
2017-07-03 10:28:47.498,37.3833333333,38.0166666667
2017-07-03 10:33:49.511,37.9,38.1333333333
2017-07-03 10:38:51.461,37.2333333333,38.4
2017-07-03 10:43:53.342,37.45,38.1833333333
2017-07-03 10:48:55.277,37.6,38.45
2017-07-03 10:53:57.707,37.3666666667,38.3166666667
2017-07-03 10:58:59.476,37.5,38.5666666667
2017-07-03 11:04:01.447,37.4666666667,38.65
2017-07-03 11:09:03.754,38.25,38.7833333333
2017-07-03 11:14:05.566,38.15,38.5
2017-07-03 11:19:07.612,37.6166666667,38.5666666667
2017-07-03 11:24:10.060,37.4,38.5
2017-07-03 11:29:11.880,37.6333333333,39.05
2017-07-03 11:34:13.500,37.4,38.8833333333
2017-07-03 11:39:15.463,37.4666666667,38.9166666667
2017-07-03 11:44:17.808,36.95,38.75
2017-07-03 11:49:19.621,37.6333333333,38.5833333333
2017-07-03 11:54:21.351,37.4333333333,38.5666666667
2017-07-03 11:59:23.636,37.4666666667,38.4333333333
2017-07-03 12:04:25.778,37.7,38.35
2017-07-03 12:09:27.835,38.0666666667,38.3
2017-07-03 12:14:29.811,37.75,38.3666666667
2017-07-03 12:19:31.651,37.65,38.6166666667
2017-07-03 12:24:33.540,37.8666666667,38.7166666667
2017-07-03 12:29:35.412,38.0666666667,38.7833333333
2017-07-03 12:34:37.113,37.2,38.7333333333
2017-07-03 12:39:39.034,37.5333333333,38.75
2017-07-03 12:44:41.442,37.6166666667,38.5
2017-07-03 12:49:43.777,37.85,38.4333333333
2017-07-03 12:54:45.926,37.5166666667,38.35
2017-07-03 12:59:48.052,37.9166666667,38.2
2017-07-03 13:04:49.902,37.65,38.25
2017-07-03 13:09:52.055,37.2833333333,38.1333333333
2017-07-03 13:14:54.149,37.2166666667,38.6333333333
2017-07-03 13:19:55.864,37.5666666667,38.45
2017-07-03 13:24:57.552,37.5666666667,38.4166666667
2017-07-03 13:29:59.845,37.8166666667,38.5833333333
2017-07-03 13:35:01.951,37.8333333333,38.75
2017-07-03 13:40:04.131,37.7166666667,38.3166666667
2017-07-03 13:45:05.932,37.65,38.5166666667
2017-07-03 13:50:07.996,37.95,38.3666666667
2017-07-03 13:55:09.733,37.95,38.9833333333
2017-07-03 14:00:11.431,38.4333333333,38.75
2017-07-03 14:05:13.284,38.1333333333,38.85
2017-07-03 14:10:15.104,37.7833333333,38.6333333333
2017-07-03 14:15:17.127,37.4666666667,38.5
2017-07-03 14:20:18.853,37.3166666667,38.15
2017-07-03 14:25:20.829,36.9833333333,38.4
2017-07-03 14:30:23.473,36.9833333333,38.2333333333
2017-07-03 14:35:25.563,37.3333333333,38.2833333333
2017-07-03 14:40:27.876,37.4333333333,38.6166666667
2017-07-03 14:45:29.545,37.45,38.6333333333
2017-07-03 14:50:31.304,36.9666666667,38.7166666667
2017-07-03 14:55:34.204,37.0833333333,38.9
2017-07-03 15:00:36.125,36.9,38.6666666667
2017-07-03 15:05:38.061,36.7666666667,38.7333333333
2017-07-03 15:10:40.020,36.8833333333,38.8833333333
2017-07-03 15:15:41.762,37.2666666667,38.9166666667
2017-07-03 15:20:43.588,37.2333333333,38.6
2017-07-03 15:25:45.331,37.7833333333,38.7333333333
2017-07-03 15:30:47.165,37.0166666667,38.4166666667
2017-07-03 15:35:49.080,36.5333333333,38.45
2017-07-03 15:40:51.492,36.4666666667,38.9833333333
2017-07-03 15:45:53.522,36.5833333333,38.45
2017-07-03 15:50:55.377,36.7166666667,38.7333333333
2017-07-03 15:55:57.278,36.7,38.65
2017-07-03 16:00:59.577,36.7666666667,38.9333333333
2017-07-03 16:06:01.290,37.1,39.5
2017-07-03 16:11:03.297,36.4833333333,39.7333333333
2017-07-03 16:16:05.040,36.8,39.1166666667
2017-07-03 16:21:06.950,37.0833333333,39.3333333333
2017-07-03 16:26:08.776,37.0833333333,39.7333333333
2017-07-03 16:31:10.855,36.9,39.35
2017-07-03 16:36:12.744,36.7833333333,39.5666666667
2017-07-03 16:41:14.571,36.7333333333,39.3666666667
2017-07-03 16:46:16.502,37.1,39.1166666667
2017-07-03 16:51:18.536,37.9333333333,39.5
2017-07-03 16:56:20.214,37.2666666667,39.7833333333
2017-07-03 17:01:21.971,36.7333333333,39.6833333333
2017-07-03 17:06:23.724,36.85,39.7
2017-07-03 17:11:25.501,36.3333333333,39.4833333333
2017-07-03 17:16:27.407,36.6,39.3833333333
2017-07-03 17:21:29.348,36.25,39.3666666667
2017-07-03 17:26:31.447,36.85,38.9
2017-07-03 17:31:33.171,36.3833333333,38.4
2017-07-03 17:36:34.799,36.7,38.1666666667
2017-07-03 17:41:36.456,36.7333333333,37.65
