,To work (min),From work (min)
2017-07-03 22:04:03.178,36.7333333333,37.65
2017-07-03 22:09:05.832,36.6166666667,37.6166666667
2017-07-03 22:14:07.947,36.9666666667,37.35
2017-07-03 22:19:09.661,36.9,37.0
2017-07-03 22:24:11.356,36.6833333333,37.1166666667
2017-07-03 22:29:13.084,36.2833333333,37.6833333333
2017-07-03 22:34:14.896,36.3166666667,37.3333333333
2017-07-03 22:39:16.807,36.5166666667,37.35
2017-07-03 22:44:18.480,36.6666666667,37.2
2017-07-03 22:49:20.493,36.4833333333,37.1166666667
2017-07-03 22:54:22.331,36.3666666667,37.2333333333
2017-07-03 22:59:24.175,37.1,37.0833333333
2017-07-03 23:04:25.716,36.6166666667,37.2833333333
2017-07-03 23:09:27.496,36.7333333333,37.2833333333
2017-07-03 23:14:29.375,36.4166666667,37.3
2017-07-03 23:19:30.958,36.4666666667,37.2833333333
2017-07-03 23:24:32.817,36.2,37.3666666667
2017-07-03 23:29:34.533,36.05,37.5833333333
2017-07-03 23:34:36.193,36.0833333333,37.5833333333
2017-07-03 23:39:38.186,36.05,37.7666666667
2017-07-03 23:44:40.018,36.0166666667,37.8833333333
2017-07-03 23:49:41.674,36.1833333333,37.8666666667
2017-07-03 23:54:43.542,36.6,37.7333333333
2017-07-03 23:59:45.397,36.7666666667,37.6333333333
