,To work (min),From work (min)
2017-07-07 00:01:51.018,36.4333333333,37.0166666667
2017-07-07 00:06:53.254,36.4666666667,37.0166666667
2017-07-07 00:11:54.986,36.4333333333,37.0333333333
2017-07-07 00:16:57.001,36.6,37.1666666667
2017-07-07 00:21:58.817,36.5333333333,37.3333333333
2017-07-07 00:27:00.552,36.4666666667,37.0166666667
2017-07-07 00:32:02.478,36.25,36.9166666667
2017-07-07 00:37:03.945,36.05,36.9
2017-07-07 00:42:05.586,36.05,36.9166666667
2017-07-07 00:47:07.237,36.0166666667,37.0
2017-07-07 00:52:09.027,36.0833333333,37.0
2017-07-07 00:57:10.760,36.0,37.0166666667
2017-07-07 01:02:12.779,36.0,37.0
2017-07-07 01:07:14.942,35.8833333333,36.95
2017-07-07 01:12:16.753,35.7333333333,37.0166666667
2017-07-07 01:17:18.529,35.8,37.0666666667
2017-07-07 01:22:20.025,35.6166666667,37.2166666667
2017-07-07 01:27:21.682,35.2333333333,37.5666666667
2017-07-07 01:32:23.635,35.2833333333,37.8166666667
2017-07-07 01:37:25.668,35.4666666667,37.95
2017-07-07 01:42:27.361,35.55,37.95
2017-07-07 01:47:29.109,35.75,37.8166666667
2017-07-07 01:52:30.735,35.8833333333,37.7666666667
2017-07-07 01:57:32.381,36.0666666667,38.0
2017-07-07 02:02:34.108,36.4333333333,38.0166666667
2017-07-07 02:07:35.742,36.6833333333,38.0333333333
2017-07-07 02:12:37.438,36.9833333333,38.1
2017-07-07 02:17:38.985,36.9833333333,38.2333333333
2017-07-07 02:22:40.786,37.0833333333,38.3166666667
2017-07-07 02:27:42.372,37.1833333333,38.4333333333
2017-07-07 02:32:43.988,37.3833333333,38.9333333333
2017-07-07 02:37:45.676,37.2833333333,38.8833333333
2017-07-07 02:42:47.236,37.5833333333,38.8833333333
2017-07-07 02:47:48.749,37.5,39.1666666667
2017-07-07 02:52:51.091,37.5666666667,39.2166666667
2017-07-07 02:57:52.883,37.4333333333,39.2666666667
2017-07-07 03:02:54.458,37.4333333333,39.1666666667
2017-07-07 03:07:56.101,37.2833333333,39.05
2017-07-07 03:12:57.563,37.1833333333,38.7333333333
2017-07-07 03:17:59.347,37.1333333333,38.6666666667
2017-07-07 03:23:01.111,37.1,38.6666666667
2017-07-07 03:28:02.782,37.0333333333,38.55
2017-07-07 03:33:04.604,37.05,38.4666666667
2017-07-07 03:43:09.761,36.85,38.4166666667
2017-07-07 03:48:11.320,36.8,37.9666666667
2017-07-07 03:53:12.902,36.75,37.8833333333
2017-07-07 03:58:14.745,36.6333333333,37.8833333333
2017-07-07 04:03:16.492,36.3333333333,37.85
2017-07-07 04:08:18.028,36.2833333333,37.8333333333
2017-07-07 04:13:19.656,36.3333333333,37.7666666667
2017-07-07 04:18:21.413,36.1666666667,37.7833333333
2017-07-07 04:23:23.151,36.2333333333,37.6666666667
2017-07-07 04:28:24.796,36.15,37.7
2017-07-07 04:33:26.652,36.2166666667,37.5666666667
2017-07-07 04:38:28.516,36.15,37.4166666667
2017-07-07 04:43:30.386,36.2,37.3833333333
2017-07-07 04:48:32.802,36.5666666667,37.3833333333
2017-07-07 04:53:34.362,36.4666666667,37.25
2017-07-07 04:58:36.211,36.3166666667,37.25
2017-07-07 05:03:37.971,36.2,37.3166666667
2017-07-07 05:08:39.625,36.25,37.4833333333
2017-07-07 05:13:41.427,36.1833333333,37.5666666667
2017-07-07 05:18:43.082,36.15,37.7833333333
2017-07-07 05:23:44.852,35.8166666667,38.0666666667
2017-07-07 05:28:46.670,35.9333333333,38.2666666667
2017-07-07 05:33:48.326,35.85,38.4166666667
2017-07-07 05:38:50.011,35.8,38.2
2017-07-07 05:43:51.758,35.8833333333,38.1833333333
2017-07-07 05:48:53.448,36.0333333333,38.3
2017-07-07 05:53:55.335,36.4166666667,38.1166666667
2017-07-07 05:58:56.955,36.5,38.1166666667
2017-07-07 06:03:58.556,36.6333333333,37.9833333333
2017-07-07 06:09:00.158,37.0833333333,37.7166666667
2017-07-07 06:14:01.688,37.0,37.8333333333
2017-07-07 06:19:03.278,37.45,37.9833333333
2017-07-07 06:24:05.072,37.7666666667,38.05
2017-07-07 06:29:06.712,37.45,38.2333333333
2017-07-07 06:34:08.452,37.65,38.5666666667
2017-07-07 06:39:10.102,38.1,38.7166666667
2017-07-07 06:44:12.211,37.5,38.6
2017-07-07 06:49:13.927,37.1333333333,38.3
2017-07-07 06:54:15.688,37.2333333333,38.35
2017-07-07 06:59:17.353,37.2333333333,37.95
2017-07-07 07:04:18.905,37.55,38.3833333333
2017-07-07 07:09:20.549,38.1,38.1666666667
2017-07-07 07:14:22.344,38.4833333333,37.8166666667
2017-07-07 07:19:24.116,37.7166666667,38.15
2017-07-07 07:24:25.782,37.3333333333,38.0666666667
2017-07-07 07:29:27.414,37.45,38.05
2017-07-07 07:34:29.111,37.1333333333,37.9833333333
2017-07-07 07:39:30.968,36.7666666667,37.9833333333
2017-07-07 07:44:32.542,36.7833333333,38.0
2017-07-07 07:49:34.241,36.3,37.7333333333
2017-07-07 07:54:36.184,36.3333333333,37.8166666667
2017-07-07 07:59:37.829,36.05,38.0333333333
2017-07-07 08:04:39.612,36.15,37.9333333333
2017-07-07 08:09:41.521,36.0833333333,37.9166666667
2017-07-07 08:14:43.253,36.2833333333,38.05
2017-07-07 08:19:45.066,36.6,37.8666666667
2017-07-07 08:24:47.090,36.6833333333,37.7166666667
2017-07-07 08:29:48.906,36.4666666667,37.8666666667
2017-07-07 08:34:50.940,36.8833333333,37.7666666667
2017-07-07 08:39:52.982,37.2833333333,37.95
2017-07-07 08:44:54.977,37.1166666667,37.9833333333
2017-07-07 08:49:56.811,36.8,38.1
2017-07-07 08:54:58.865,36.6333333333,38.25
2017-07-07 09:00:00.646,36.8333333333,38.2666666667
2017-07-07 09:05:03.455,36.8833333333,38.3333333333
2017-07-07 09:10:05.642,36.9166666667,38.1666666667
2017-07-07 09:15:07.476,36.8166666667,38.2333333333
2017-07-07 09:20:09.278,37.1,38.2833333333
2017-07-07 09:25:11.664,37.1333333333,38.4
2017-07-07 09:30:13.603,37.3166666667,38.7166666667
2017-07-07 09:35:15.615,37.3833333333,38.7166666667
2017-07-07 09:40:17.635,38.1666666667,39.05
2017-07-07 09:45:19.722,37.6,38.5666666667
2017-07-07 09:50:22.061,37.4166666667,38.5
2017-07-07 09:55:23.950,37.3833333333,38.45
2017-07-07 10:00:25.991,37.1333333333,38.5
2017-07-07 10:05:28.112,37.1166666667,38.4
2017-07-07 10:10:30.215,37.0166666667,37.9333333333
2017-07-07 10:15:32.203,37.1166666667,37.9666666667
2017-07-07 10:20:34.345,38.0333333333,37.9833333333
2017-07-07 10:25:36.078,37.35,38.3166666667
2017-07-07 10:30:37.931,37.1833333333,38.4833333333
2017-07-07 10:35:39.822,37.4833333333,38.2666666667
2017-07-07 10:40:41.897,37.2666666667,38.4
2017-07-07 10:45:43.680,38.0,38.4833333333
2017-07-07 10:50:45.985,37.7333333333,38.8166666667
2017-07-07 10:55:48.266,37.7333333333,38.6333333333
2017-07-07 11:00:50.194,37.95,38.6166666667
2017-07-07 11:05:52.291,37.6666666667,38.7666666667
2017-07-07 11:10:54.664,38.2333333333,38.6333333333
2017-07-07 11:15:56.952,38.3333333333,38.8666666667
2017-07-07 11:20:58.865,38.35,39.0666666667
2017-07-07 11:26:01.006,38.35,39.0333333333
2017-07-07 11:31:02.993,38.4,38.6666666667
2017-07-07 11:36:04.973,39.0833333333,38.8333333333
2017-07-07 11:41:06.979,38.3333333333,39.2666666667
2017-07-07 11:46:09.624,38.5833333333,39.3166666667
2017-07-07 11:51:11.660,38.5833333333,39.45
2017-07-07 11:56:13.645,38.3666666667,39.3666666667
2017-07-07 12:01:15.504,38.1333333333,39.75
2017-07-07 12:06:17.676,38.55,39.4666666667
2017-07-07 12:11:19.937,38.2333333333,39.9666666667
2017-07-07 12:16:21.937,38.0666666667,39.8166666667
2017-07-07 12:21:23.924,37.8666666667,39.9
2017-07-07 12:26:26.682,38.2,39.6
2017-07-07 12:31:28.879,37.9166666667,39.8333333333
2017-07-07 12:36:30.857,37.7666666667,40.0333333333
2017-07-07 12:41:32.834,38.3333333333,39.5333333333
2017-07-07 12:46:34.684,38.3,39.55
2017-07-07 12:51:36.747,38.35,39.5666666667
2017-07-07 12:56:38.732,38.1666666667,39.5333333333
2017-07-07 13:01:41.564,37.8333333333,39.5
2017-07-07 13:06:44.502,37.8333333333,39.5166666667
2017-07-07 13:11:46.367,37.95,39.7833333333
2017-07-07 13:16:48.159,38.2333333333,39.7166666667
2017-07-07 13:21:49.947,38.1166666667,39.4
2017-07-07 13:26:52.560,38.35,39.4
2017-07-07 13:31:55.115,38.7,39.45
2017-07-07 13:36:57.557,38.5333333333,39.5833333333
2017-07-07 13:41:59.830,38.7833333333,39.6333333333
2017-07-07 13:47:01.858,38.6666666667,39.35
2017-07-07 13:52:03.843,38.5333333333,39.1166666667
2017-07-07 13:57:05.782,38.2,39.0
2017-07-07 14:02:07.587,38.7666666667,39.0833333333
2017-07-07 14:07:09.797,38.4666666667,39.3166666667
2017-07-07 14:12:11.805,37.9333333333,38.9333333333
2017-07-07 14:17:13.991,38.1,38.7833333333
2017-07-07 14:22:16.579,38.6666666667,38.6333333333
2017-07-07 14:27:18.919,37.65,38.6333333333
2017-07-07 14:32:20.653,38.35,38.7833333333
2017-07-07 14:37:22.519,38.3,38.8666666667
2017-07-07 14:42:24.452,37.8333333333,38.8833333333
2017-07-07 14:47:26.295,38.1166666667,38.7833333333
2017-07-07 14:52:29.267,38.6833333333,39.35
2017-07-07 14:57:31.820,38.65,39.5666666667
2017-07-07 15:02:34.225,38.65,39.6166666667
2017-07-07 15:07:35.995,38.5833333333,39.4333333333
2017-07-07 15:12:37.890,38.1666666667,39.45
2017-07-07 15:17:39.615,38.6333333333,39.35
2017-07-07 15:22:42.533,38.3666666667,39.3666666667
2017-07-07 15:27:44.765,37.9833333333,39.7
2017-07-07 15:32:46.943,38.6166666667,39.4
2017-07-07 15:37:48.528,38.6166666667,39.35
2017-07-07 15:42:50.741,38.1666666667,39.65
2017-07-07 15:47:53.058,38.75,39.3833333333
2017-07-07 15:52:54.726,38.15,40.0666666667
2017-07-07 15:57:56.314,37.55,40.1333333333
2017-07-07 16:02:57.862,37.8333333333,40.1166666667
2017-07-07 16:08:01.407,37.8333333333,40.3333333333
2017-07-07 16:13:03.226,37.9,40.3166666667
2017-07-07 16:18:05.272,37.65,40.35
2017-07-07 16:23:07.122,37.45,39.8166666667
2017-07-07 16:28:09.109,37.4666666667,40.1
2017-07-07 16:33:10.900,38.45,39.9166666667
2017-07-07 16:38:12.716,38.4333333333,40.1166666667
2017-07-07 16:43:14.804,37.6666666667,40.3333333333
2017-07-07 16:48:16.941,37.7666666667,39.9166666667
2017-07-07 16:53:18.862,37.75,39.4166666667
2017-07-07 16:58:20.694,38.2166666667,39.25
2017-07-07 17:03:22.606,37.3666666667,39.3
2017-07-07 17:08:24.453,37.05,39.1666666667
2017-07-07 17:13:26.469,37.3666666667,39.7666666667
2017-07-07 17:18:28.432,37.1666666667,39.4833333333
2017-07-07 17:23:30.105,37.7333333333,39.5166666667
2017-07-07 17:28:32.035,37.4333333333,39.7
2017-07-07 17:33:34.167,38.0333333333,39.7666666667
2017-07-07 17:38:36.026,37.7666666667,40.3333333333
2017-07-07 17:43:37.785,36.95,39.4166666667
2017-07-07 17:48:39.670,37.45,39.3166666667
2017-07-07 17:53:41.743,37.15,39.5833333333
2017-07-07 17:58:43.560,37.0166666667,40.85
2017-07-07 18:03:45.917,37.5666666667,41.3166666667
2017-07-07 18:08:47.753,37.6,40.0833333333
2017-07-07 18:13:49.739,37.75,39.95
2017-07-07 18:18:51.876,37.75,40.5666666667
2017-07-07 18:23:54.520,37.65,39.95
2017-07-07 18:28:56.482,37.1666666667,39.6333333333
2017-07-07 18:33:58.837,37.8833333333,39.3666666667
2017-07-07 18:39:00.647,37.6,38.6333333333
2017-07-07 18:44:02.713,37.65,38.7
2017-07-07 18:49:04.651,37.6,38.3333333333
2017-07-07 18:54:06.809,37.2333333333,38.15
2017-07-07 18:59:08.782,37.1333333333,37.8833333333
2017-07-07 19:04:10.550,37.9666666667,37.95
2017-07-07 19:09:12.194,36.6166666667,38.1666666667
2017-07-07 19:14:14.170,37.0166666667,38.0333333333
2017-07-07 19:19:16.134,36.75,38.15
2017-07-07 19:24:18.193,36.75,38.3833333333
2017-07-07 19:29:20.629,36.6666666667,38.5666666667
2017-07-07 19:34:22.584,36.9,38.5
2017-07-07 19:39:24.412,36.85,38.4666666667
2017-07-07 19:44:26.436,36.9,38.0
2017-07-07 19:49:28.178,36.9333333333,37.8166666667
2017-07-07 19:54:30.031,36.4333333333,37.7666666667
2017-07-07 19:59:32.147,36.4666666667,37.8833333333
2017-07-07 20:04:34.040,36.5833333333,37.95
2017-07-07 20:09:36.015,36.7833333333,37.9
2017-07-07 20:14:37.913,37.2166666667,37.5833333333
2017-07-07 20:19:39.721,37.2166666667,37.8833333333
2017-07-07 20:24:41.915,37.1333333333,37.5833333333
2017-07-07 20:29:43.942,36.95,37.5166666667
2017-07-07 20:34:46.779,36.8,37.5833333333
2017-07-07 20:39:48.692,37.1833333333,37.6
2017-07-07 20:44:50.799,36.9,37.75
2017-07-07 20:49:52.551,36.9833333333,37.8333333333
2017-07-07 20:54:54.262,36.6833333333,37.8166666667
2017-07-07 20:59:56.337,36.7833333333,37.85
2017-07-07 21:04:58.133,36.8833333333,37.9333333333
2017-07-07 21:10:00.165,36.55,38.05
2017-07-07 21:15:01.817,36.6166666667,38.4666666667
2017-07-07 21:20:03.670,37.1833333333,38.15
2017-07-07 21:25:05.332,37.05,37.9166666667
2017-07-07 21:30:07.053,36.5166666667,38.1833333333
2017-07-07 21:35:08.884,36.7166666667,38.3166666667
2017-07-07 21:40:10.672,36.8166666667,38.4
2017-07-07 21:45:12.653,36.5666666667,38.3
2017-07-07 21:50:14.497,36.6166666667,38.2666666667
2017-07-07 21:55:16.469,37.0,38.55
