,To work (min),From work (min)
2017-07-02 22:13:31.655,36.6333333333,37.45
2017-07-02 22:18:37.122,36.8666666667,37.6166666667
2017-07-02 22:23:38.852,36.5333333333,37.6
2017-07-02 22:28:40.480,36.2333333333,37.5166666667
2017-07-02 22:33:42.411,36.2,37.6166666667
2017-07-02 22:38:44.035,36.2,37.65
2017-07-02 22:43:45.766,36.2666666667,37.8
2017-07-02 22:48:47.370,36.35,37.7833333333
2017-07-02 22:53:49.265,36.0666666667,37.8166666667
2017-07-02 22:58:51.072,35.95,37.6333333333
2017-07-02 23:03:52.743,36.15,37.6
2017-07-02 23:08:54.256,36.3666666667,37.5833333333
2017-07-02 23:13:56.138,36.3333333333,37.5833333333
2017-07-02 23:18:58.022,36.4333333333,37.6666666667
2017-07-02 23:23:59.841,36.6166666667,37.9666666667
2017-07-02 23:29:01.731,36.6666666667,38.0
2017-07-02 23:34:03.332,36.5166666667,37.7333333333
2017-07-02 23:39:05.356,36.5333333333,37.8166666667
2017-07-02 23:44:07.125,36.4,37.8333333333
2017-07-02 23:49:08.816,36.45,37.65
2017-07-02 23:54:10.360,36.25,37.55
2017-07-02 23:59:12.141,36.0666666667,37.45
